id(pk),id,codigo_act
632,6164231,236221
633,6694614,236111
634,95520,237992
635,6772552,237213
636,9288903,236211
637,6142646,236211
638,6142701,237212
639,9754523,237213
640,52359,238210
641,11443425,238110
642,8346168,237312
643,6707121,237212
644,6164192,236211
645,123028,236111
646,6142440,237312
647,6142631,236221
648,6142718,238122
649,6811636,236111
650,9316231,236221
651,10606482,238330
652,6142705,237312
653,9303549,237212
654,9836519,236111
655,6707537,236221
656,6142637,236221
657,6142736,237312
658,6142552,236221
659,124522,238210
660,10200182,237992
661,9418748,236111
662,10313919,236211
663,9277515,237212
664,6142472,237312
665,111776,237131
666,101993,237212
667,6694168,237992
668,11135343,237212
669,6142694,238130
670,6164212,237312
671,10485444,237312
672,6142484,236221
673,6142653,236211
674,124002,238222
675,11069678,236113
676,9289317,236221
677,6164257,236111
678,6142669,236211
679,11003172,236211
680,6142487,237999
681,11676676,238221
682,6142706,237212
683,6508408,237111
684,10881846,237212
685,6142507,237312
686,6142568,236211
687,11398376,237212
688,11635573,236221
689,6142622,236111
690,9316226,236111
691,9940549,236111
692,6508409,238910
693,6718597,236211
694,6142538,236111
695,117993,238311
696,6164185,236211
697,6704036,236221
698,6142479,237212
699,101333,236111
700,6142557,237312
701,9907941,236111
702,9315765,236111
703,6142720,236111
704,11475084,236111
705,6142634,237212
706,6142733,236111
707,91813,236221
708,6142678,236221
709,6142496,236112
710,6142438,237131
711,87993,238210
712,6142460,237131
713,6142465,237212
714,6142662,237112
715,6142475,237312
716,6142446,236211
717,9315766,236111
718,9330864,236211
719,6718995,236111
720,9397676,237312
721,9223702,237312
722,9330860,237312
723,11544907,237312
724,6142517,237131
725,9324796,236221
726,9314803,236111
727,6142592,237111
728,6142641,236221
729,9316227,236211
730,10947359,236111
731,6142447,237991
732,9288808,236111
733,9724449,237212
734,9277758,236111
735,6164198,237212
736,9306562,236111
737,6148375,237212
738,96737,237312
739,6142587,237131
740,6142549,236221
741,9330856,236111
742,6142515,237312
743,6142729,236221
744,9316243,237312
745,6142502,237312
746,6142485,237212
747,91858,236221
748,6142603,236221
749,6142735,237312
750,6142526,236211
751,6142586,238910
752,6142454,237212
753,6142497,236221
754,6142613,236111
755,9321953,236111
756,6164213,236211
757,6142458,236221
758,9322510,236111
759,6724596,236111
760,10319410,236111
761,97389,238130
762,9321960,236111
763,9321935,236111
764,9288802,236211
765,10084911,236111
766,9330855,238910
767,9413336,237131
768,9409435,237131
769,6693815,237131
770,143946,238210
771,10436812,236113
772,82627,236221
773,6142616,236211
774,83599,238121
775,6142690,236111
776,6693803,236112
777,6142615,237312
778,6142528,238121
779,6874619,237992
780,9710230,237211
781,9337307,236221
782,9315768,236111
783,9277892,236221
784,66604,236111
785,9408219,236111
786,6717729,236111
787,11584831,238990
788,6722276,236111
789,10768732,236211
790,6142441,237131
791,9316851,238110
792,6142466,237212
793,9303532,237212
794,9223694,237131
795,11190187,236211
796,79832,238130
797,10608406,238210
798,10927184,238130
799,9325900,236221
800,6142563,236221
801,9837493,238221
802,6142560,236221
803,6142518,238122
804,6802303,236211
805,119765,236221
806,56852,238330
807,6959176,236111
808,6739954,236111
809,6142721,236112
810,11095727,236113
811,6694219,237992
812,9337342,236221
813,6723503,236111
814,119130,236211
815,6811346,238910
816,8360060,236211
817,6699245,236112
818,153260,236111
819,6694099,237212
820,64362,238210
821,6142651,237212
822,6709691,236221
823,6142548,236221
824,6142462,236221
825,8112875,238210
826,9289437,236111
827,9288885,236111
828,118389,238350
829,9223705,238222
830,9431375,238122
831,10834395,236221
832,9316852,236211
833,9321952,236111
834,6142453,237312
835,6142532,236211
836,10530963,236211
837,6695129,236211
838,9434360,236111
839,10076651,238190
840,9465158,238340
841,9298684,236111
842,6729341,236221
843,6142555,236221
844,116126,236111
845,9306572,236211
846,6142731,236211
847,8485543,238190
848,6142655,237312
849,9330858,236221
850,6142481,236221
851,6142598,236221
852,6142693,236221
853,6142546,236221
854,96696,236221
855,6716679,236221
856,6142623,236221
857,6142537,236221
858,6142625,236111
859,6708647,236211
860,6142510,236111
861,6142650,236112
862,6142597,236211
863,9741344,236211
864,98773,236221
865,6142663,236221
866,6715378,236112
867,6142681,236111
868,6142712,236111
869,6142645,236111
870,6142639,236111
871,127061,236111
872,87537,236111
873,6142452,236111
874,9418918,236211
875,6695032,236111
876,6142679,237111
877,6164215,236211
878,9434523,236111
879,10901974,236221
880,9322589,236211
881,9344911,236111
882,6142644,237131
883,9386785,237131
884,75664,238210
885,10977527,237131
886,139766,238222
887,7137886,238210
888,87171,238210
889,11029961,238122
890,93314,238190
891,132943,238210
892,84271,238210
893,8319810,238210
894,6908766,238210
895,9283479,236211
896,6971728,238330
897,6286701,238290
898,6765904,238290
899,105218,236221
900,10166433,236112
901,88283,238210
902,9321361,237131
903,9306500,236111
904,6142699,236211
905,7048028,238190
906,6142715,236111
907,8514536,236111
908,8280480,238210
909,6909250,238330
910,138930,238210
911,60741,238222
912,6708563,236211
913,6142490,236221
914,6142520,236221
915,9464816,236221
916,6142595,236211
917,82617,238210
918,11303828,236211
919,6142589,236211
920,9290736,236221
921,96391,236111
922,10654600,236211
923,9290450,238122
924,9304670,238122
925,59697,237112
926,11491415,236111
927,6142738,236211
928,6285395,238222
929,9316714,236111
930,9314659,237212
931,9323600,237131
932,9168435,238330
933,8236081,237212
934,8589354,237212
935,6142572,237212
936,6142514,236111
937,129745,236211
938,10660403,238210
939,11006036,236222
940,6142499,236221
941,11207167,238210
942,9460944,236112
943,9315767,237312
944,6734391,236112
945,6714352,236112
946,9470770,238130
947,82491,236211
948,6142605,237112
949,9436686,236221
950,6142740,236221
951,9316873,236211
952,6142451,236221
953,6769189,237212
954,6508421,236112
955,6142469,238110
956,9289318,238122
957,129759,236111
958,115476,238221
959,140252,237131
960,120955,238210
961,9444424,238210
962,8683345,238210
963,9306257,236111
964,6142702,236221
965,6142588,236111
966,6769248,236211
967,9424913,236211
968,10840034,236221
969,6142711,236111
970,6695346,236211
971,146413,238210
972,123150,236111
973,6142708,236211
974,6785507,236221
975,6142607,236111
976,9321958,237312
977,6287682,236112
978,9321949,236111
979,9270080,236111
980,9288962,237312
981,8345819,238990
982,6142742,236221
983,9316711,236211
984,9316710,236221
985,6142719,236111
986,64035,237212
987,9316705,237212
988,6142689,236211
989,9306518,236111
990,6142574,237212
991,95681,237212
992,9296156,236111
993,11225601,236111
994,7816016,238210
995,11096524,238320
996,6142683,236211
997,6694131,236111
998,9450745,237132
999,9457149,237131
1000,9316850,237212
1001,154419,238210
1002,9316225,236111
1003,6695000,237999
1004,9419075,236211
1005,6720148,236221
1006,9631505,238210
1007,9331957,237131
1008,85682,238210
1009,6142470,236221
1010,6142554,238121
1011,9330851,236111
1012,6142474,237312
1013,10827295,237312
1014,6859622,236211
1015,6142666,238130
1016,6809729,236111
1017,9836013,236221
1018,9322581,236111
1019,9831776,236111
1020,57682,238210
1021,10511568,238210
1022,11491105,237212
1023,8552368,238190
1024,6740868,236221
1025,10292994,236211
1026,10466657,238190
1027,11577204,236111
1028,9269836,237311
1029,9321934,236111
1030,9253060,238190
1031,9868047,238190
1032,11276592,238190
1033,9321297,236221
1034,6142575,237212
1035,93610,238290
1036,10702654,238390
1037,6740271,236211
1038,6797580,237312
1039,6142604,236221
1040,9330868,236211
1041,10253337,236111
1042,8589362,238210
1043,6142695,236111
1044,9885621,236222
1045,6772086,237213
1046,88527,236221
1047,123246,238210
1048,9325639,238110
1049,10741826,238210
1050,6142471,236211
1051,9330853,236211
1052,106954,237132
1053,6694220,237992
1054,6860933,236221
1055,9223693,236211
1056,6142476,236221
1057,11319915,236212
1058,10750601,238210
1059,6142501,237111
1060,6705166,237992
1061,11635039,236111
1062,7016714,237133
1063,9321956,236111
1064,6722243,236211
1065,9315247,236221
1066,9311378,236113
1067,6142478,236211
1068,8319349,238210
1069,6142534,236112
1070,9306645,236111
1071,6142529,236211
1072,8567668,238210
1073,8798003,238210
1074,8280479,238210
1075,10207159,238210
1076,9330852,236111
1077,94072,236113
1078,6284008,236221
1079,6721221,237992
1080,11551242,238210
1081,6809372,236112
1082,9288839,236111
1083,9324827,236221
1084,6164194,236211
1085,9425525,236112
1086,6142495,236111
1087,9304322,236111
1088,9313396,236112
1089,9325409,236221
1090,6164242,236111
1091,6286302,236111
1092,6694129,236221
1093,9843780,236111
1094,9330866,236211
1095,6704577,236112
1096,11127820,238210
1097,11193563,238290
1098,10176716,238210
1099,8316827,238210
1100,10150201,238221
1101,128160,238221
1102,6728878,238311
1103,9679802,236211
1104,10960791,236212
1105,9320619,236211
1106,9313398,236111
1107,6714381,238910
1108,9421417,238210
1109,109477,238290
1110,9310711,238910
1111,141967,238222
1112,6481699,238222
1113,91418,238311
1114,6500056,238222
1115,10969939,236111
1116,8280721,238210
1117,6142576,236111
1118,6142577,237111
1119,6721160,237212
1120,6142480,237312
1121,6142450,236221
1122,9818911,238122
1123,6508420,236221
1124,71900,237212
1125,6715425,236111
1126,9307089,236111
1127,6142688,236221
1128,9306508,236111
1129,9317394,236211
1130,6142561,236211
1131,83423,236221
1132,85696,238210
1133,9581534,238222
1134,6142741,236221
1135,9646079,236111
1136,6805203,236211
1137,9307172,236111
1138,8551732,238190
1139,124748,238330
1140,6857843,236211
1141,8552161,238221
1142,156480,236221
1143,7633943,238221
1144,6142638,236111
1145,7816014,238190
1146,9317127,236111
1147,6142668,236221
1148,7005406,238210
1149,9450468,236221
1150,6142564,236222
1151,6142493,236112
1152,9650015,236212
1153,9223696,236111
1154,11527386,238340
1155,11492987,238190
1156,8319400,238190
1157,10766406,238340
1158,6142494,237212
1159,9286334,236111
1160,9310225,236111
1161,10930477,236111
1162,6881413,237312
1163,84912,238190
1164,9448266,236211
1165,89024,238320
1166,9287639,238910
1167,10400397,236111
1168,6142724,236221
1169,6142730,238122
1170,11449516,236111
1171,10744335,238340
1172,11500384,238210
1173,9223699,236111
1174,10333734,238130
1175,6705257,238910
1176,9316244,236211
1177,11254210,238121
1178,10493840,236111
1179,6142500,237111
1180,9289436,237111
1181,8737809,236221
1182,154657,236111
1183,9436355,238210
1184,6142680,237312
1185,6142611,236111
1186,6800536,236221
1187,9223695,236111
1188,9321957,237131
1189,10780367,238290
1190,6738722,238210
1191,6142463,237112
1192,10332609,238190
1193,9321959,236111
1194,10324184,238121
1195,6704007,236221
1196,9316713,237311
1197,6142449,236211
1198,9306651,238910
1199,9314702,236111
1200,6761406,236111
1201,6142477,236211
1202,10899319,238210
1203,11279850,236221
1204,6739916,236211
1205,6798432,236221
1206,10727307,236111
1207,6861232,238110
1208,6164245,236111
1209,6142541,236221
1210,6142579,237212
1211,6164173,237312
1212,6142626,238122
1213,6142525,237212
1214,130190,236112
1215,6142539,237131
1216,9317392,237111
1217,6142527,236211
1218,6142675,238311
1219,9290285,236112
1220,10915471,236111
1221,80214,236111
1222,9637513,238210
1223,7078681,238210
1224,11507215,237212
1225,9325408,236221
1226,9788339,238190
1227,7759574,237132
