id(pk),tipo_asent
801,COLONIA
802,COLONIA
803,COLONIA
804,COLONIA
805,COLONIA
806,COLONIA
807,COLONIA
808,FRACCIONAMIENTO
809,COLONIA
810,COLONIA
811,AMPLIACION
812,COLONIA
813,COLONIA
814,COLONIA
815,COLONIA
816,COLONIA
817,FRACCIONAMIENTO
818,COLONIA
819,COLONIA
820,COLONIA
821,
822,
823,COLONIA
824,FRACCIONAMIENTO
825,COLONIA
826,EJIDO
827,COLONIA
828,COLONIA
829,COLONIA
830,COLONIA
831,COLONIA
832,COLONIA
833,COLONIA
834,FRACCIONAMIENTO
835,COLONIA
836,COLONIA
837,
838,COLONIA
839,COLONIA
840,COLONIA
841,COLONIA
842,COLONIA
843,
844,COLONIA
845,COLONIA
846,COLONIA
847,FRACCIONAMIENTO
848,COLONIA
849,ZONA COMERCIAL
850,FRACCIONAMIENTO
851,COLONIA
852,COLONIA
853,COLONIA
854,PUEBLO
855,COLONIA
856,FRACCIONAMIENTO
857,COLONIA
858,COLONIA
859,COLONIA
860,FRACCIONAMIENTO
861,COLONIA
862,COLONIA
863,COLONIA
864,COLONIA
865,COLONIA
866,COLONIA
867,FRACCIONAMIENTO
868,FRACCIONAMIENTO
869,COLONIA
870,COLONIA
871,COLONIA
872,COLONIA
873,COLONIA
874,COLONIA
875,COLONIA
876,CIUDAD INDUSTRIAL
877,COLONIA
878,COLONIA
879,COLONIA
880,COLONIA
881,COLONIA
882,RESIDENCIAL
883,EJIDO
884,COLONIA
885,COLONIA
886,COLONIA
887,FRACCIONAMIENTO
888,COLONIA
889,COLONIA
890,COLONIA
891,COLONIA
892,FRACCIONAMIENTO
893,COLONIA
894,FRACCIONAMIENTO
895,COLONIA
896,COLONIA
897,COLONIA
898,COLONIA
899,COLONIA
900,FRACCIONAMIENTO
901,COLONIA
902,COLONIA
903,COLONIA
904,COLONIA
905,COLONIA
906,COLONIA
907,COLONIA
908,FRACCIONAMIENTO
909,COLONIA
910,COLONIA
911,FRACCIONAMIENTO
912,COLONIA
913,COLONIA
914,COLONIA
915,COLONIA
916,COLONIA
917,COLONIA
918,COLONIA
919,COLONIA
920,COLONIA
921,COLONIA
922,EJIDO
923,FRACCIONAMIENTO
924,EJIDO
925,FRACCIONAMIENTO
926,FRACCIONAMIENTO
927,FRACCIONAMIENTO
928,COLONIA
929,FRACCIONAMIENTO
930,COLONIA
931,COLONIA
932,COLONIA
933,COLONIA
934,COLONIA
935,COLONIA
936,COLONIA
937,COLONIA
938,ZONA COMERCIAL
939,COLONIA
940,COLONIA
941,COLONIA
942,COLONIA
943,COLONIA
944,FRACCIONAMIENTO
945,COLONIA
946,COLONIA
947,COLONIA
948,COLONIA
949,COLONIA
950,FRACCIONAMIENTO
951,COLONIA
952,FRACCIONAMIENTO
953,FRACCIONAMIENTO
954,FRACCIONAMIENTO
955,FRACCIONAMIENTO
956,RANCHO
957,COLONIA
958,COLONIA
959,COLONIA
960,COLONIA
961,COLONIA
962,COLONIA
963,COLONIA
964,COLONIA
965,COLONIA
966,COLONIA
967,CIUDAD INDUSTRIAL
968,COLONIA
969,FRACCIONAMIENTO
970,COLONIA
971,FRACCIONAMIENTO
972,COLONIA
973,PARQUE INDUSTRIAL
974,COLONIA
975,FRACCIONAMIENTO
976,COLONIA
977,COLONIA
978,COLONIA
979,FRACCIONAMIENTO
980,COLONIA
981,COLONIA
982,COLONIA
983,COLONIA
984,COLONIA
985,EJIDO
986,FRACCIONAMIENTO
987,COLONIA
988,COLONIA
989,COLONIA
990,ZONA COMERCIAL
991,COLONIA
992,COLONIA
993,FRACCIONAMIENTO
994,FRACCIONAMIENTO
995,COLONIA
996,FRACCIONAMIENTO
997,
998,COLONIA
999,COLONIA
1000,COLONIA
1001,COLONIA
1002,PUEBLO
1003,
1004,COLONIA
1005,COLONIA
1006,RESIDENCIAL
1007,COLONIA
1008,COLONIA
1009,FRACCIONAMIENTO
1010,FRACCIONAMIENTO
1011,COLONIA
1012,COLONIA
1013,COLONIA
1014,COLONIA
1015,COLONIA
1016,COLONIA
1017,COLONIA
1018,COLONIA
1019,COLONIA
1020,COLONIA
1021,COLONIA
1022,COLONIA
1023,AMPLIACION
1024,COLONIA
1025,FRACCIONAMIENTO
1026,COLONIA
1027,COLONIA
1028,COLONIA
1029,COLONIA
1030,COLONIA
1031,FRACCIONAMIENTO
1032,FRACCIONAMIENTO
1033,FRACCIONAMIENTO
1034,COLONIA
1035,COLONIA
1036,COLONIA
1037,CIUDAD INDUSTRIAL
1038,FRACCIONAMIENTO
1039,COLONIA
1040,COLONIA
1041,MANZANA
1042,COLONIA
1043,COLONIA
1044,COLONIA
1045,COLONIA
1046,COLONIA
1047,COLONIA
1048,COLONIA
1049,COLONIA
1050,COLONIA
1051,COLONIA
1052,COLONIA
1053,LOCALIDAD
1054,COLONIA
1055,COLONIA
1056,FRACCIONAMIENTO
1057,COLONIA
1058,ZONA COMERCIAL
1059,FRACCIONAMIENTO
1060,COLONIA
1061,FRACCIONAMIENTO
1062,COLONIA
1063,FRACCIONAMIENTO
1064,CIUDAD INDUSTRIAL
1065,CIUDAD
1066,EJIDO
1067,FRACCIONAMIENTO
1068,COLONIA
1069,COLONIA
1070,COLONIA
1071,COLONIA
1072,FRACCIONAMIENTO
1073,COLONIA
1074,COLONIA
1075,COLONIA
1076,COLONIA
1077,COLONIA
1078,COLONIA
1079,
1080,COLONIA
1081,COLONIA
1082,COLONIA
1083,COLONIA
